,date,coronavirus,covid-19,lockdown,mask,pandemic,quarantine,vaccine,Open,High,Low,Close,Adj Close,Volume
0,2019-11-01,,,,,,,,128.585083,129.598465,128.19311499999998,129.569794,110.37352,3231931
1,2019-11-04,0.0,0.0,0.13,6.48,0.62,0.0,1.86,130.24856599999998,131.682602,130.238998,131.615677,112.11631000000001,3488828
2,2019-11-05,0.0,0.0,0.18,6.3,0.66,0.0,1.98,131.73996,132.657745,131.577438,131.826004,112.295479,3153690
3,2019-11-06,0.0,0.0,0.25,6.12,0.64,0.0,1.96,131.93116799999999,132.676865,131.50096100000002,132.676865,113.020271,4683256
4,2019-11-07,0.0,0.0,0.23,6.48,0.72,0.0,2.0,131.80688500000002,133.021027,131.52963300000002,131.634796,113.457008,4261195
5,2019-11-08,0.0,0.0,0.23,6.5699999999999985,0.6900000000000001,0.0,1.88,131.52963300000002,131.55831899999998,130.172089,131.55831899999998,113.39108300000001,2383206
6,2019-11-11,0.0,0.0,0.13,5.44,0.62,0.0,1.7,131.166351,131.166351,129.063095,129.512421,111.62770800000001,2686128
7,2019-11-12,0.0,0.0,0.16,5.44,0.71,0.0,1.92,129.894836,130.650101,129.082214,129.627151,111.72658500000001,3186639
8,2019-11-13,0.0,0.0,0.21,5.68,0.74,0.0,1.96,129.435944,129.61758400000002,127.963669,128.56596399999998,110.811935,3052646
9,2019-11-14,0.0,0.0,0.28,5.44,0.53,0.0,1.84,128.231354,128.422562,127.46653700000002,128.107071,110.416428,4425940
10,2019-11-15,0.0,0.0,0.22,5.5200000000000005,0.81,0.0,1.88,128.479919,129.177826,128.135757,128.48948700000003,110.746025,3412575
11,2019-11-18,0.0,0.0,0.18,5.76,0.8200000000000001,0.0,1.92,128.393875,128.56596399999998,127.370934,128.40344199999998,110.67186699999999,3358078
12,2019-11-19,0.0,0.0,0.21,5.28,0.59,0.0,1.82,128.94838000000001,129.426392,128.546844,128.60420200000002,110.84491000000001,3132770
13,2019-11-20,0.0,0.0,0.22,5.12,0.49,0.0,1.86,128.164429,128.546844,126.912048,127.34225500000001,109.757225,4328557
14,2019-11-21,0.0,0.0,0.35000000000000003,5.44,0.61,0.0,1.8,127.53346299999998,128.269592,127.131927,127.954109,110.28458400000001,3499184
15,2019-11-22,0.0,0.0,0.31,5.28,0.59,0.0,1.78,128.288712,128.728485,127.715103,128.432129,110.69658700000001,3449185
16,2019-11-25,0.0,0.0,0.26,5.36,0.68,0.0,0.8,128.55641200000002,130.019119,128.44168100000002,129.990433,112.03971100000001,2709245
17,2019-11-26,0.0,0.0,2.0,5.04,0.68,0.0,0.86,130.162521,130.162521,128.84321599999998,129.149139,111.314598,3967687
18,2019-11-27,0.0,0.0,0.8,5.12,0.45,0.0,0.76,129.397705,129.74186699999998,127.74378999999999,127.887192,110.226906,3431821
19,2019-11-29,0.0,0.0,0.2,5.5200000000000005,0.86,0.0,0.49,127.72466299999999,128.60420200000002,127.17973300000001,128.53729199999998,110.787247,1909264
20,2019-12-02,0.0,0.0,0.41,5.6000000000000005,0.88,0.0,1.62,128.53729199999998,128.585083,126.65392299999999,127.06501000000002,109.518257,3208187
21,2019-12-03,0.0,0.0,0.68,5.76,0.91,0.0,1.96,126.19503,126.615677,124.94264199999999,126.309753,108.867294,3810055
22,2019-12-04,0.0,0.0,0.66,5.5200000000000005,0.71,0.0,2.0,127.017204,127.801147,126.156792,126.18547099999999,108.760178,3692380
23,2019-12-05,0.0,0.0,0.7000000000000001,5.92,0.68,0.0,1.96,127.14149499999999,127.380501,125.841301,126.10898600000002,108.69426000000001,3760788
24,2019-12-06,0.0,0.0,0.75,5.5200000000000005,0.87,0.0,1.88,126.912048,128.00190700000002,126.86424299999999,127.361374,109.773697,3595625
25,2019-12-09,0.0,0.0,0.6,7.739999999999998,0.9,0.0,1.9,127.485657,128.671127,127.39962,128.030594,110.35051000000001,3105051
26,2019-12-10,0.0,0.0,1.0,6.93,0.95,0.0,1.9,128.030594,128.91014099999998,127.686424,128.021027,110.342262,3640498
27,2019-12-11,0.0,0.0,0.8300000000000001,6.66,0.77,0.0,1.96,128.212234,128.59465,127.79158799999999,127.877632,110.21866599999998,4135152
